[8.22星期五] 湖南人涨停复盘
涨停金额:1478亿 炸板金额:179亿
首板金额:1273亿 连板金额:205亿
涨停69家 炸板10家 跌停1家
首板58家 连板11家
【市场连板股】11只 205亿
|代码|名称|末次时间|连板数|原因|
|---|---|---|---|---|
|603626|科森科技|13:00|6|消费|
|605303|园林股份|9:25|5|算力|
|605028|世茂能源|9:25|4|光伏|
|002177|御银股份|10:20|4|稳定币|
|603101|汇嘉时代|9:30|3|消费|
|002190|成飞集成|10:42|3|军工|
|600246|万通发展|9:25|2|算力|
|002212|天融信|9:30|2|稳定币|
|600475|华光环能|9:37|2|算力|
|002838|道恩股份|13:09|2|机器人|
|000617|中油资本|13:25|2|稳定币|
【泛科技：芯片+算力】39只 1021亿
消息面: DeepSeek称UE8MO FP8是针对即将发布的下一代国产芯片设计
|代码|名称|末次时间|连板数|原因|
|---|---|---|---|---|
|605255|天普股份|9:25|1|中昊芯英拟入主|
|300192|科德教育|9:25|1|参股中昊芯英 (AI芯片)|
|605303|园林股份|9:25|5|参股云计算平台|
|600246|万通发展|9:25|2/11天6板|拟收购数迹科技+芯片|
|600728|佳都科技|9:25|1|FP8+算力|
|600637|东方明珠|9:35|1|上海微电子|
|002217|合力泰|9:36|1/3天2板|算力+电子纸|
|603256|宏和科技|9:36|1/8天4板|电子级玻纤布 (Q 布)|
|600475|华光环能|9:37|2|数据中心节能项目|
|688343|云天励飞|9:38|1|FP8原生支持|
|002272|川润股份|9:48|1/6天4板|华为 (鲲鹏、昇腾)|
|600601|方正科技|9:52|1/6天3板|PCB (华为)|
|000818|航锦科技|10:07|1|光模块|
|688227|品高股份|10:12|1|投资江原科技|
|002692|远程股份|10:17|1|数据中心 (电缆)|
|000628|高新发展|10:21|1|华为CANN|
|603019|中科曙光|10:24|1|海光信息换股|
|001298|好上好|10:33|1|华为海思代理|
|603031|安孚科技|10:38|1|参股国产GPU公司|
|002080|中材科技|11:01|1|Low-dk电子布 (AI硬件)|
|002685|华东重机|11:06|1|控股国产GPU公司|
|002575|群兴玩具|11:19|1/3天2板|合作中昊芯英|
|301377|鼎泰高科|11:22|1|PCB钻针全球前二|
|002290|禾盛新材|11:25|1|参股熠知电子 (高端处理器)|
|600353|旭光电子|13:00|1|光模块|
|600979|广安爱众|13:00|1|中昊芯英液冷核心供应商|
|002871|伟隆股份|13:01|1/7天4板|数据中心阀门|
|002993|奥海科技|13:04|1|服务器电源|
|688082|盛美上海|13:06|1|集成电路制造设备|
|601208|东材科技|13:12|1|高速树脂+PCB|
|688041|海光信息|13:26|1|DCU (FP8优化)|
|300418|昆仑万维|13:28|1|AI大算力芯片|
|603171|税友股份|14:04|1|人工智能大模型|
|002402|和而泰|14:07|1|参股摩尔线程+机器人|
|603986|兆易创新|14:16|1|存储芯片|
|301259|艾布鲁|14:19|1|参股中昊芯英|
|688256|寒武纪|14:35|1|国产算力芯片 (支持FP8精度)|
|688709|成都华微|14:52|1|算力芯片|
|600797|浙大网新|14:54|1|群核科技+间接参股中昊芯英|
|300767|震安科技|14:54|1|华为液冷|
【稳定币】6只 191亿
消息面: 市场出现稳定币传闻; RWA注册登记平台正式在香港上线
|代码|名称|末次时间|连板数|原因|
|---|---|---|---|---|
|002177|御银股份|10:20|4|稳定币ATM机|
|002212|天融信|9:30|2|稳定币|
|000617|中油资本|13:25|2/4天3板|跨境支付|
|603106|恒银科技|9:37|1|数字货币 (金融设备)|
|601059|信达证券|11:09|1|证券|
|601788|光大证券|14:02|1|稳定币|
【消费】4只 42亿
|代码|名称|末次时间|连板数|原因|
|---|---|---|---|---|
|603626|科森科技|13:00|6|供货苹果+消费电子|
|603101|汇嘉时代|9:30|3|胖东来阐政|
|600315|上海家化|9:43|1|业绩增长+化妆品|
|002568|百润股份|9:44|1|预调鸡尾酒 (RIO)|
【小金属】3只 30亿
|代码|名称|末次时间|连板数|原因|
|---|---|---|---|---|
|600058|五矿发展|9:51|1|煤炭+小金属|
|002378|章源钨业|10:37|1|钨矿 (涨价)|
|600490|鹏欣资源|14:48|1|黄金+铜矿|
【新疆基建】3只 31亿
|代码|名称|末次时间|连板数|原因|
|---|---|---|---|---|
|000877|天山股份|11:26|1|水泥+新疆|
|603227|雪峰科技|13:32|1|新疆民爆|
|600425|青松建化|14:00|1|新疆水泥|
【医药相关】3只 36亿
|代码|名称|末次时间|连板数|原因|
|---|---|---|---|---|
|000710|贝瑞基因|13:31|1|基因编辑|
|002622|皓宸医疗|13:33|1/3天2板|口腔医院|
|603716|塞力医疗|14:28|1|创新药|
【机器人】
|代码|名称|末次时间|连板数|原因|
|---|---|---|---|---|
|002838|道恩股份|13:09|2|机器人|
|605133|嵘泰股份|11:14|1|机器人|
【其他】
|代码|名称|末次时间|连板数|原因|
|---|---|---|---|---|
|605028|世茂能源|9:25|4|光伏|
|300066|三川智慧|9:42|1|稀土|
|000676|智度股份|9:55|1|华为+数字人民币|
|300113|顺网科技|10:36|1|业绩增长|
|002190|成飞集成|10:42|3|军工|
|001317|三羊马|10:48|1|无人驾驶|
|600284|浦东建设|13:23|1|上海|
|002109|兴化股份|14:20|1|化工|
【涨停炸板】10只 179亿
|代码|名称|首次时间|涨跌幅|原因|
|---|---|---|---|---|
