序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002445,中南文化,10.089020729064941,3.71,30163265,8779273409.83,8817213958.56,0.34357360005378723,451194024,092500,092500,0,3/3,3,通用设备
4,603803,瑞斯康达,10.0,12.1,549347248,5141091039.7,5141090979.2,10.68627643585205,113737580,092503,093403,2,2/2,2,通信设备
5,000839,国安股份,9.944750785827637,3.98,2318955296,15600908880.96,15600908880.96,14.98697280883789,69437507,093000,141739,6,2/2,2,通信服务
7,603421,鼎信通讯,9.989142417907715,10.13,968800368,6606689876.43,6606689886.56,14.985625267028809,27943969,093114,145532,2,2/2,2,通信设备
8,600172,黄河旋风,10.019841194152832,11.09,2866293216,14153676267.5,15993825883.199999,20.458454132080078,75501540,093230,112758,11,2/2,2,通用设备
9,601789,宁波建工,9.939759254455566,7.3,3755047264,7933629707.0,11128060665.6,48.45085906982422,62163004,093246,141352,8,4/4,4,房屋建设
17,000537,绿发电力,9.961315155029297,11.37,1249485648,23497268742.239998,23497268742.239998,5.501845836639404,221429317,094212,094212,0,2/2,2,电力
23,600108,亚盛集团,10.050251007080078,6.57,2382653088,12791232344.970001,12791232338.4,19.18535614013672,45784227,095846,134225,9,9/7,2,种植业
40,600769,祥龙电业,10.036630630493164,15.02,590664848,5632157544.0,5632157544.0,10.767339706420898,33523153,110842,110842,0,2/2,2,环境治理
50,600726,华电能源,9.968847274780273,3.53,1302157344,26387936814.239998,27912896757.76,5.291522979736328,49471820,140349,140349,0,2/2,2,电力
