序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
6,000407,胜利股份,9.94371509552002,5.86,166983108,5132083762.320001,5157296084.16,3.2537097930908203,208052789,092500,092500,0,1/1,1,燃气Ⅱ
13,002957,科瑞技术,10.003473281860352,31.67,1635338000,13259559559.54,13300844634.880001,12.532862663269043,63260698,093000,140554,3,1/1,1,自动化设
16,002506,协鑫集成,10.021322250366211,5.16,3764114320,30157265389.32,30187633367.04,12.570905685424805,149649871,093112,100057,2,1/1,1,光伏设备
19,001269,欧晶科技,10.01690673828125,26.03,163546919,5008473583.58,5008473583.58,3.28853440284729,55848380,093200,093200,0,1/1,1,光伏设备
21,600617,国新能源,10.119048118591309,3.7,218618125,6569507949.3,7138009571.200001,3.3618714809417725,74834868,093232,093305,1,1/1,1,燃气Ⅱ
23,605169,洪通燃气,10.021474838256836,15.37,161776130,4347865600.0,4347865600.0,3.783005475997925,44408909,093520,093520,0,1/1,1,燃气Ⅱ
24,603778,国晟科技,10.0,15.51,1852711776,9970714272.42,10184519405.28,18.733501434326172,22042812,093616,144243,12,1/1,1,光伏设备
25,603616,韩建河山,9.959623336791992,8.17,198190600,3139673810.0,3197068060.0,6.450939655303955,96010490,093629,093629,0,1/1,1,水泥
26,600681,百川能源,9.930715560913086,4.76,424005152,6377489754.719999,6382468924.16,6.74716854095459,69271328,093838,093838,0,1/1,1,燃气Ⅱ
27,002491,通鼎互联,9.982014656066895,12.23,3779123472,14388214292.33,15042832686.08,26.65719223022461,58504626,093842,150000,16,6/3,1,通信设备
29,002952,亚世光电,9.995497703552246,24.43,214519861,3216088131.7599998,4014826200.0,6.8170061111450195,77151772,094536,094536,0,1/1,1,光学光电
30,001299,美能能源,10.028449058532715,15.47,196275706,3378662216.9300003,3753619234.82,6.0388264656066895,36781781,094927,094927,0,1/1,1,燃气Ⅱ
31,600798,宁波海运,9.952607154846191,4.64,675396128,5598318692.639999,5598318725.12,12.401976585388184,115244134,095009,095009,0,1/1,1,航运港口
38,600635,大众公用,10.03184700012207,6.91,1976911152,16713850474.25,20401323583.52,12.01473617553711,191404236,095949,101519,2,1/1,1,燃气Ⅱ
39,600903,贵州燃气,10.0,7.7,916404480,8855072441.6,8855072441.6,10.522505760192871,3349500,100102,144553,7,1/1,1,燃气Ⅱ
41,002682,龙洲股份,10.043041229248047,7.67,863531760,4313302687.98,4313367100.64,20.499652862548828,49769563,100230,102827,1,1/1,1,物流
42,600333,长春燃气,9.966216087341309,6.51,650791904,3964789752.8399997,3964789778.8799996,16.67059898376465,12663278,100353,144150,2,1/1,1,燃气Ⅱ
43,002911,佛燃能源,10.030959129333496,17.77,653022304,22515265295.54,23072465360.48,2.9621262550354004,3741953,100624,145600,7,1/1,1,燃气Ⅱ
44,300332,天壕能源,20.066333770751953,7.24,1210121408,6008844016.440001,6263489072.0,21.303741455078125,175866999,102806,102806,0,1/1,1,燃气Ⅱ
49,002350,北京科锐,10.008410453796387,13.08,1028156256,6939613240.68,7093693979.52,15.686800003051758,67007545,105915,105915,0,4/3,1,电网设备
51,603139,康惠股份,10.01173210144043,28.13,182714111,2809624400.0,2809624400.0,6.752620220184326,27355693,110709,110709,0,1/1,1,中药Ⅱ
52,300483,首华燃气,19.990413665771484,25.03,2739659680,8778104224.75,8781107899.84,32.511199951171875,49441433,111148,144039,6,1/1,1,燃气Ⅱ
54,920010,凯添燃气,29.948108673095703,17.53,623640960,3043970169.34,4110785000.0000005,21.83127212524414,29350496,112024,112024,0,1/1,1,燃气Ⅱ
57,601022,宁波远洋,9.980430603027344,11.24,848395328,14709038674.16,14709038606.720001,5.978211879730225,44939543,112750,112750,0,1/1,1,航运港口
58,002267,陕天然气,9.975668907165527,9.04,832882144,10053162022.8,10053161977.599998,8.544371604919434,63272894,130039,130039,0,1/1,1,燃气Ⅱ
59,600028,中国石化,9.98593521118164,7.82,11427389952,740964357432.5,945637533368.3201,1.585645318031311,202873579,130059,142738,11,1/1,1,炼化及贸
61,603689,皖天然气,10.011507987976074,9.56,513701152,4982056001.400001,5028833186.56,10.6410551071167,3304901,130135,143902,15,1/1,1,燃气Ⅱ
63,600917,重庆燃气,9.931507110595703,6.42,744196000,10021875259.2,10021875259.2,7.604278087615967,7578810,130142,144827,12,1/1,1,燃气Ⅱ
64,920014,特瑞斯,30.000001907348633,17.81,352610752,1194112377.3799999,2170268592.83,31.982666015625,10293342,130145,132012,3,1/1,1,燃气Ⅱ
65,601015,陕西黑猫,10.058026313781738,5.69,1170007488,11621811565.91,11621811526.08,10.639236450195312,92098487,130149,130149,0,1/1,1,焦炭Ⅱ
66,603053,成都燃气,10.0,11.33,445800736,10071123700.0,10071123700.0,4.533130645751953,3478661,130256,145414,4,1/1,1,燃气Ⅱ
