序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,振幅,昨日封板时间,昨日连板数,涨停统计,所属行业
1,605167,利柏特,-6.3004841804504395,17.4,20.43,329534384,7813817999.999999,7813817999.999999,4.197920322418213,0.5780346393585205,9.800753593444824,130412,1,2/1,专业工程
2,605277,新亚电子,-0.4691165089607239,25.46,28.14,936389776,8099711575.18,8248730813.76,11.741951942443848,0.4339250326156616,5.473025798797607,093000,1,2/1,消费电子
3,603929,亚翔集成,6.737089157104492,181.88,187.44,1675992688,38805916800.0,38805916800.0,4.512084007263184,0.4196113049983978,8.714788436889648,142948,3,4/3,专业工程
4,002629,仁智股份,0.7173600792884827,7.02,7.67,407512256,2971525635.0,2991207960.0,13.969232559204102,0.2857142686843872,4.591104984283447,105651,1,2/1,油服工程
5,600683,京投发展,0.37735849618911743,10.64,11.66,1082136480,7881873632.080001,7881873664.0,13.668642044067383,0.282752126455307,11.698113441467285,094013,3,4/3,房地产开
6,002470,金正大,-0.2777777910232544,3.59,3.96,3359944896,11795840407.029999,11796839600.96,28.59069061279297,0.2793295979499817,13.05555534362793,143324,1,4/2,农化制品
7,000533,顺钠股份,-3.7993180751800537,19.75,22.58,5083120896,13526822400.0,13643616000.0,36.00670623779297,0.20294266939163208,10.618606567382812,145133,2,11/6,电网设备
8,600227,赤天化,-5.482041358947754,5.0,5.82,2048959232,6387999015.0,8443638400.0,31.781375885009766,0.20040079951286316,11.909262657165527,142536,3,9/5,农化制品
9,002506,协鑫集成,-1.9538187980651855,5.52,6.19,6103594752,32261260649.039997,32293747322.879997,18.948932647705078,0.18148820102214813,5.150976657867432,095709,1,2/1,光伏设备
10,000572,海马汽车,-2.639296293258667,6.64,7.5,1330448848,10904560364.88,10920385908.48,12.330471992492676,0.15082956850528717,4.838709354400635,094048,1,2/1,乘用车
11,603992,松霖科技,-0.9309309720993042,32.99,36.63,454688544,14292048114.53,14292048147.52,3.2281103134155273,0.12139605730772018,4.714714527130127,131218,1,2/1,家居用品
12,002150,正泰电源,-5.0759968757629395,33.1,38.36,1512830304,11867838771.800001,11944757280.0,12.73552131652832,0.12099213153123856,7.972469329833984,105509,1,6/3,通用设备
13,603693,江苏新能,1.8891688585281372,16.18,17.47,1083595552,14424079738.4,14424079867.84,7.338654518127441,0.06184292212128639,10.012594223022461,101833,1,2/1,电力
14,603248,锡华科技,-5.070339679718018,32.39,37.53,1548566720,2244915854.02,14899400000.0,65.77973937988281,0.030883261933922768,14.507619857788086,102136,3,4/3,风电设备
15,000020,深华发Ａ,9.98288631439209,19.28,19.28,55759302,3492868738.48,5459348552.96,1.596375584602356,0.0,0.0,092500,2,3/3,光学光电
16,002256,兆新股份,-1.873536229133606,4.19,4.7,1599333344,8175081961.93,8354628644.960001,19.43901824951172,0.0,7.494144916534424,102121,1,2/1,电力
17,002323,雅博股份,10.181818008422852,3.03,3.03,340888928,6424757229.719999,6426191062.08,5.387364387512207,0.0,5.454545497894287,093642,1,4/3,专业工程
18,002565,顺灏股份,9.97286319732666,16.21,16.21,4078031744,17181690975.620003,17182420522.88,24.783660888671875,0.0,13.772049903869629,111230,1,2/2,包装印刷
19,301226,祥明智能,-4.408241271972656,39.9,50.09,780222832,4341120000.0,4341120000.0,17.616504669189453,0.0,11.90704345703125,130327,1,2/1,电机Ⅱ
20,301667,纳百川,5.38154935836792,111.03,126.43,1678288640,2497559782.77,12398675688.0,68.0355224609375,0.0,20.111997604370117,104715,1,2/1,汽车零部
21,301680,固德电材,4.510703086853027,136.7,156.96,1536790304,2296899016.0,11318760000.0,68.81161499023438,0.0,10.611620903015137,134406,1,2/1,汽车零部
22,600307,酒钢宏兴,10.0,2.42,2.42,1403473104,15157324966.08,15157325004.8,9.501340866088867,0.0,9.545454025268555,093306,1,4/3,普钢
23,600370,三房巷,10.0,3.63,3.63,1469433696,14144951002.71,14144951013.6,10.65034294128418,0.0,10.606060981750488,095607,4,5/5,化学纤维
24,600396,华电辽能,10.0,5.17,5.17,331038848,7613894243.89,7613894238.72,4.347825527191162,0.0,0.0,094038,2,3/3,电力
25,601016,节能风电,-3.296703577041626,4.4,5.01,3951169200,26110261632.4,28337674956.800003,15.026634216308594,0.0,8.571429252624512,145041,1,6/3,电力
26,603387,基蛋生物,9.957627296447754,10.38,10.38,343269936,5264253506.46,5264253537.6,6.602631092071533,0.0,6.991525650024414,140311,1,2/2,医疗器械
27,688295,中复神鹰,2.0538721084594727,60.62,71.28,2365097856,54558000000.0,54558000000.0,4.6726460456848145,0.0,14.158248901367188,150000,1,2/1,化学纤维
28,001369,双欣材料,-1.303441047668457,18.93,21.1,1954662672,3805486314.84,21712710000.0,50.797367095947266,-0.0527983121573925,12.25234603881836,105021,1,2/1,化学纤维
29,600643,爱建集团,4.296875,5.34,5.63,790469120,8492478163.44,8507531986.559999,9.5604887008667,-0.18691588938236237,7.8125,095807,1,2/1,多元金融
30,000042,中洲控股,-1.1578947305679321,9.39,10.45,146227062,6236191986.780001,6242764367.04,2.354722023010254,-0.21253985166549683,1.6842104196548462,093406,1,2/1,房地产开
31,002285,世联行,2.346040964126587,3.49,3.75,754797824,6895459028.740001,6954973349.6,11.05257797241211,-0.2857142686843872,4.692081928253174,131642,1,2/1,房地产服
32,603685,晨丰科技,0.3709949254989624,29.76,32.62,219043972,5995620630.72,7468288903.68,3.7021093368530273,-0.3348962068557739,5.90219259262085,110706,1,2/1,光学光电
33,600569,安阳钢铁,-3.900709390640259,2.71,3.1,566139968,7784261956.059999,7784261972.32,7.245351314544678,-0.36764705181121826,6.0283684730529785,093155,1,2/1,普钢
34,603778,国晟科技,-8.390480041503906,22.71,27.27,3246032720,14599285694.82,14912342726.880001,21.52094841003418,-0.48203328251838684,11.012504577636719,145338,2,6/3,光伏设备
35,000890,法尔胜,1.3412816524505615,13.6,14.76,1588179904,5705078225.599999,5705253964.8,28.670320510864258,-0.584795355796814,11.10283088684082,104721,4,18/10,环保设备
36,600791,京能置业,-0.6410256624221802,9.3,10.3,312568288,4206517372.8,4211784000.0000005,7.401538372039795,-0.6410256624221802,6.089743614196777,094928,1,2/1,房地产开
37,600545,卓郎智能,-3.8876891136169434,4.45,5.09,1222169248,7956209387.900001,7956209396.8,15.21341609954834,-0.6696428656578064,7.991360664367676,093328,2,3/2,专用设备
38,600408,安泰集团,-0.6976743936538696,4.27,4.73,1052962432,4299036000.0,4299036000.0,24.465011596679688,-0.6976743936538696,7.441860198974609,094118,1,4/2,焦炭Ⅱ
39,600691,潞化科技,-6.355932235717773,4.42,5.19,1599739024,10500089907.84,10501840227.84,15.280975341796875,-1.5590200424194336,8.050848007202148,112753,1,5/3,农化制品
